,Node,23/24,24/25,25/26,26/27,27/28,28/29,29/30,30/31,region,bus_name,bus_id,demand
0,ABHA4A,198,201,206,210,214,220,229,239,nget,ABHAM 400kV,92,220
1,ABHA4B,342,346,352,358,366,377,391,415,nget,ABHAM 400kV,101,377
3,ABTH20,71,73,76,78,80,82,91,96,nget,ABERTHAW 132kV,663,82
4,ALDW20,7,7,7,7,7,7,8,8,nget,ALDWARKE 33kV,843,7
7,ALVE4A,-18,-19,-20,-20,-21,-21,-22,-23,nget,ALVERDISCOTT 400kV,207,-21
8,ALVE4B,16,16,16,17,18,19,20,21,nget,ALVERDISCOTT 400kV,67,19
9,AMEM4A_EPN,23,55,72,75,78,80,83,85,nget,AMERSHAM MAIN 400kV,15,80
10,AMEM4A_SEP,13,13,13,13,14,15,15,16,nget,AMERSHAM MAIN 400kV,15,15
11,AMEM4B_EPN,208,241,246,248,253,259,270,281,nget,AMERSHAM MAIN 400kV,16,259
12,AMEM4B_SEP,108,141,142,140,145,150,154,159,nget,AMERSHAM MAIN 400kV,16,150
17,AXMI40_SEP,11,11,41,42,42,42,43,44,nget,AXMINSTER 132kV,655,42
18,AXMI40_WPD,9,9,9,8,9,9,9,10,nget,AXMINSTER 132kV,655,9
24,BARK20_EPN,74,74,76,77,80,82,85,88,nget,BARKING 132kV,781,82
25,BARK20_LPN,297,301,304,304,306,310,313,319,nget,BARKING 132kV,781,310
27,BEDD20_LPN,595,615,637,663,691,728,769,823,nget,BEDDINGTON 132kV,771,728
28,BEDD20_SPN,12,13,14,16,14,16,19,21,nget,BEDDINGTON 132kV,771,16
32,BESW20,27,27,29,30,31,33,34,35,nget,BERKSWELL 132kV,715,33
33,BICF4A,21,24,26,89,92,96,99,102,nget,BICKER FEN 132kV,542,96
34,BICF4B,8,8,8,8,8,8,36,36,nget,BICKER FEN 132kV,542,8
35,BIRK20,44,45,46,47,49,50,52,56,nget,BIRKENHEAD 132kV,767,50
36,BISW20,350,379,386,392,401,412,427,444,nget,BISHOPS WOOD 132kV,755,412
37,BLYT20,28,34,36,60,61,62,64,65,nget,BLYTH 66kV,801,62
40,BOLN40,53,46,47,57,59,60,53,54,nget,BOLNEY 132kV,714,60
42,BOTW40,11,11,41,42,42,42,43,44,nget,BOTLEY WOOD 132kV,629,42
43,BRAI4A,33,33,33,34,34,35,36,36,nget,BRAINTREE 400kV,17,35
44,BRAI4B,-6,-6,-6,-6,-6,-6,-6,-6,nget,BRAINTREE 400kV,40,-6
46,BRAW20,57,59,61,65,69,75,80,86,nget,BRADFORD WEST 132kV,770,75
47,BRED20,24,28,33,39,44,49,54,60,nget,BREDBURY 132kV,564,49
48,BRFO40,97,99,102,105,108,111,115,121,nget,BRAMFORD 132kV,561,111
51,BRIM2A_EPN,145,144,146,148,150,152,185,186,nget,BRIMSDOWN 275kV,405,152
52,BRIM2A_LPN,11,10,10,11,16,17,17,18,nget,BRIMSDOWN 275kV,405,17
53,BRIM2B_EPN,187,187,217,224,233,248,261,279,nget,BRIMSDOWN 275kV,427,248
54,BRIM2B_LPN,119,121,125,131,137,144,150,158,nget,BRIMSDOWN 275kV,427,144
55,BRIM2C_EPN,43,45,47,49,53,58,63,69,nget,BRIMSDOWN 275kV,421,58
56,BRIM2C_LPN,182,180,186,194,205,215,226,238,nget,BRIMSDOWN 275kV,421,215
57,BRLE40,1,1,1,1,1,1,1,1,nget,BRAMLEY 132kV,742,1
62,BRWA2A,22,22,22,22,22,23,23,23,nget,BRIDGWATER 275kV,410,23
63,BRWA2B,16,16,16,17,18,19,20,21,nget,BRIDGWATER 275kV,406,19
64,BULL40,98,101,105,115,123,128,133,138,nget,BULLSLODGE 400kV,173,128
66,BURW40,229,237,246,257,272,291,310,337,nget,BURWELL 132kV,622,291
67,BUSH20,163,167,172,179,186,196,206,220,nget,BUSHBURY 132kV,538,196
68,BUST20,163,167,172,179,186,196,206,220,nget,BUSTLEHOLME 132kV,651,196
73,CANT40,8,8,8,8,8,8,36,36,nget,CANTERBURY 132kV,697,8
74,CAPE20,47,73,99,126,154,174,193,213,nget,CAPENHURST 132kV,762,174
75,CARE20,21,22,23,24,25,27,28,31,nget,CARDIFF EAST 132kV,539,27
76,CARR20,302,305,296,255,264,272,275,274,nget,CARRINGTON 132kV,724,272
81,CELL40_SPM,97,99,102,103,105,108,111,112,nget,CELLARHEAD 132kV,692,108
82,CELL40_WPD,121,123,126,127,129,131,135,140,nget,CELLARHEAD 132kV,692,131
87,CHIC40,25,29,34,98,102,107,111,115,nget,CHICKERELL 132kV,646,107
88,CHSI20,18,17,10,4,2,4,6,4,nget,CHESSINGTON 132kV,768,4
89,CHTE20,80,81,87,90,94,98,101,104,nget,CHESTERFIELD 132kV,769,98
90,CITR41,33,64,64,65,67,69,71,74,nget,CITYROAD 400kV,203,69
91,CITR46,22,24,26,28,30,31,33,35,nget,CITYROAD 132kV,679,31
98,CONQ40,500,564,564,505,515,519,598,613,nget,CONNAHS QUAY 132kV,780,519
101,COVE20,27,27,29,30,31,33,34,35,nget,COVENTRY 132kV,579,33
102,COWL40,22,23,53,85,86,87,89,91,nget,COWLEY 132kV,775,87
105,CREB40,18,44,102,103,105,107,108,111,nget,CREYKE BECK 132kV,752,107
108,CULJ4A,244,294,295,297,300,305,310,323,nget,CULHAM JET 400kV,189,305
119,DIDC40,35,37,39,43,46,50,53,56,nget,DIDCOT 400kV,41,50
121,DRAK20,186,194,203,211,220,233,251,269,nget,DRAKELOW 132kV,583,233
122,DRAX40,18,44,102,103,105,107,108,111,nget,DRAX 132kV,587,107
140,EALI20,22,23,53,85,86,87,89,91,nget,EALING 66kV,792,87
141,EASO40,10,10,10,10,10,10,10,10,nget,EATON SOCON 132kV,643,10
146,ECLA40_EME,0,-3,-10,-10,-10,-10,-10,-10,nget,EAST CLAYDON 132kV,739,-10
147,ECLA40_SEP,95,95,126,154,154,155,156,157,nget,EAST CLAYDON 132kV,739,155
156,ELLA20,17,20,24,48,52,56,60,64,nget,ELLAND 132kV,765,56
157,ELST20,10,10,10,10,10,10,10,10,nget,ELSTREE 132kV,658,10
160,ENDE40,0,-3,-10,-10,-10,-10,-10,-10,nget,ENDERBY 132kV,582,-10
163,EXET40,13,18,22,27,32,37,42,47,nget,EXETER MAIN 132kV,624,37
166,FAWL40,178,194,200,207,216,224,232,242,nget,FAWLEY 132kV,563,224
167,FECK20,45,72,74,76,78,80,82,85,nget,FECKENHAM 66kV,798,80
168,FECK40,252,281,288,293,302,308,322,342,nget,FECKENHAM 66kV,798,308
169,FERR20_YED,27,27,28,29,30,31,33,35,nget,FERRYBRIDGE 66kV,807,31
170,FERR2A_YED,16,17,17,17,18,18,19,19,nget,FERRYBRIDGE 275kV,431,18
171,FERR2B_YED,128,130,127,125,121,123,131,140,nget,FERRYBRIDGE 275kV,485,123
174,FIDF20_SPM,38,23,18,24,20,21,12,13,nget,FIDDLERS FERRY 132kV,615,21
175,FLEE40,13,13,13,13,14,15,15,16,nget,FLEET 132kV,745,15
176,FOUR20,28,34,36,60,61,62,64,65,nget,FOURSTONES 33kV,829,62
179,FROD2A,97,99,102,105,108,111,115,121,nget,FRODSHAM 132kV,619,111
180,FROD2B,38,23,18,24,20,21,12,13,nget,FRODSHAM 132kV,619,21
181,FROD40,372,344,338,355,349,353,350,359,nget,FRODSHAM 132kV,619,353
197,GREN40_EME,15,15,16,17,18,19,21,22,nget,GRENDON 132kV,706,19
198,GREN40_EPN,17,20,23,26,29,33,36,40,nget,GRENDON 132kV,706,33
199,GRIW40,11,11,37,37,38,39,39,40,nget,GRIMSBY WEST 132kV,719,39
203,HACK2A,21,21,21,22,23,24,24,25,nget,HACKNEY 275kV,351,24
204,HACK2B,22,24,26,28,30,31,33,35,nget,HACKNEY 275kV,339,31
205,HACK40,141,144,148,154,160,182,204,210,nget,HACKNEY 66kV,791,182
208,HAMH40_EME,15,15,16,17,18,19,21,22,nget,HAMSHALL 132kV,749,19
209,HARK20,126,128,131,136,141,146,151,157,nget,HARKER 132kV,630,146
210,HARK40,50,56,56,56,56,57,57,59,nget,HARKER 132kV,630,57
211,HARM20,7,2,2,3,3,3,3,4,nget,HARTMOOR 66kV,799,3
213,HAWP20,7,2,2,3,3,3,3,4,nget,HAWTHORN PIT 66kV,803,3
215,HEYS40,0,0,0,0,0,0,0,0,nget,HEYSHAM 132kV,688,0
218,HURS20,223,209,200,198,190,191,189,193,nget,HURST 132kV,787,191
219,HUTT40,11,10,10,11,16,17,17,18,nget,HUTTON 25kV,846,17
220,IMPP40,37,41,41,43,44,45,47,48,nget,IMPERIAL PARK 33kV,822,45
221,INDQ40,13,18,22,27,32,37,42,47,nget,INDIAN QUEENS 132kV,618,37
228,IROA20_WPDWM,47,48,49,49,50,50,52,54,nget,IRON ACTON 132kV,766,50
229,IRON40,98,97,97,97,98,99,101,105,nget,IRON BRIDGE 132kV,683,99
230,IVER20,51,52,53,54,57,60,64,67,nget,IVER 66kV,796,60
233,JORD20,11,11,37,37,38,39,39,40,nget,JORDANTHORPE 33kV,835,39
235,KEAD40,22,22,19,20,21,22,24,25,nget,KEADBY 132kV,649,22
236,KEAR20,19,19,20,20,21,22,23,23,nget,KEARSLEY 33kV,821,22
238,KEMS40,30,29,29,29,30,30,30,31,nget,KEMSLEY 132kV,778,30
239,KENG40,176,161,166,175,185,196,206,218,nget,KENSAL GREEN 400kV,73,196
241,KIBY20,18,17,10,4,2,4,6,4,nget,KIRKBY 132kV,556,4
252,KINO40,717,736,758,794,836,891,957,1047,nget,KINGSNORTH 132kV,743,891
254,KIRK20,22,22,19,20,21,22,24,25,nget,KIRKSTALL 132kV,677,22
255,KITW20,0,0,0,0,0,0,0,0,nget,KITWELL 132kV,666,0
256,LACK20,14,14,14,13,10,10,13,14,nget,LACKENBY 66kV,809,10
258,LALE20_SEP,222,234,245,252,259,268,279,300,nget,LALEHAM 33kV,837,268
259,LALE20_SPN,15,15,15,16,17,19,20,22,nget,LALEHAM 33kV,837,19
260,LAND4A,22,22,22,22,22,23,23,23,nget,LANDULPH 132kV,754,23
261,LAND4B,15,15,15,15,15,16,16,17,nget,LANDULPH 132kV,754,16
262,LEGA40,40,42,44,42,46,50,55,60,nget,LEGACY 132kV,595,50
